qd;quadrat;xl2e;yl2e;annee;nb_frenaie;volume17
0343-1964;BIGANOS                                                     ;343000;1964000;;0;0
0343-1980;AUDENGE                                                     ;343000;1980000;;0;0
0343-1996;SAINTE-HELENE                                               ;343000;1996000;;0;0
0343-2012;LISTRAC-MEDOC                                               ;343000;2012000;;0;0
0343-2028;SAINT-LAURENT-MEDOC                                         ;343000;2028000;;0;19,8041
0343-2044;LESPARRE-MEDOC                                              ;343000;2044000;;0;54,4416
0343-2060;SAINT-VIVIEN-DE-MEDOC                                       ;343000;2060000;;0;0
0343-2076;ROYAN                                                       ;343000;2076000;;1;142,455
0343-2092;SAINTE-GEMME                                                ;343000;2092000;;0;90,5285
0343-2108;ROCHEFORT                                                   ;343000;2108000;;0;282,254
0343-2124;AIGREFEUILLE-D'AUNIS                                        ;343000;2124000;;0;85,1214
0343-2140;DOMPIERRE-SUR-MER                                           ;343000;2140000;;0;1,5521
0343-2156;MARANS                                                      ;343000;2156000;;0;0
0343-2172;SAINTE-HERMINE                                              ;343000;2172000;;0;83,8446
0343-2188;CHANTONNAY                                                  ;343000;2188000;;0;68,6378
0343-2204;MOUCHAMPS                                                   ;343000;2204000;;0;50,93
0343-2220;LES HERBIERS                                                ;343000;2220000;;0;0
0343-2236;MONTFAUCON                                                  ;343000;2236000;;0;0
0343-2252;BEAUPREAU                                                   ;343000;2252000;2017;0;0
0343-2268;VARADES                                                     ;343000;2268000;;1;0,8842
0343-2284;CANDE                                                       ;343000;2284000;;0;0
0343-2300;COMBREE                                                     ;343000;2300000;;0;12,1128
0343-2316;POUANCE                                                     ;343000;2316000;;0;0
0343-2332;BALLOTS                                                     ;343000;2332000;2016;0;0
0343-2348;ARGENTRE-DU-PLESSIS                                         ;343000;2348000;2016;0;0
0343-2364;BALAZE                                                      ;343000;2364000;;0;0
0343-2380;FOUGERES                                                    ;343000;2380000;;0;0
0343-2396;LOUVIGNE-DU-DESERT                                          ;343000;2396000;;0;0
0343-2412;ISIGNY-LE-BUAT                                              ;343000;2412000;2014;0;0
0343-2428;VILLEDIEU-LES-POELES                                        ;343000;2428000;;0;56,3008
0343-2444;PERCY                                                       ;343000;2444000;;0;127,754
0343-2460;SAINT-LO                                                    ;343000;2460000;2015;0;0
0343-2476;CARENTAN                                                    ;343000;2476000;2014;0;0
0343-2492;ISIGNY-SUR-MER                                              ;343000;2492000;;0;29,3858
0343-2508;SAINT-MARCOUF                                               ;343000;2508000;;0;0
0343-2524;QUETTEHOU                                                   ;343000;2524000;2014;0;0
0359-1756;BORCE                                                       ;359000;1756000;;0;0
0359-1772;ACCOUS                                                      ;359000;1772000;;0;150,65
0359-1788;SARRANCE                                                    ;359000;1788000;;1;1072,76
0359-1804;OLORON-SAINTE-MARIE                                         ;359000;1804000;;0;201,518
0359-1820;MONEIN                                                      ;359000;1820000;;1;301,753
0359-1836;ARTHEZ-DE-BEARN                                             ;359000;1836000;;0;204,246
0359-1852;HAGETMAU                                                    ;359000;1852000;;0;124,178
0359-1868;SAINT-SEVER                                                 ;359000;1868000;;0;0
0359-1884;SAINT-MARTIN-D'ONEY                                         ;359000;1884000;;0;0
0359-1900;GAREIN                                                      ;359000;1900000;;0;0
0359-1916;SABRES                                                      ;359000;1916000;;0;0
0359-1932;SORE                                                        ;359000;1932000;;0;0
0359-1948;BELIN-BELIET                                                ;359000;1948000;;0;0
0359-1964;CESTAS                                                      ;359000;1964000;;0;0
0359-1980;MERIGNAC                                                    ;359000;1980000;;0;0
0359-1996;SAINT-MEDARD-EN-JALLES                                      ;359000;1996000;;0;0
0359-2012;BLAYE                                                       ;359000;2012000;2017;1;151,683
0359-2028;PAUILLAC                                                    ;359000;2028000;;0;4,95096
0359-2044;SAINT-CIERS-SUR-GIRONDE                                     ;359000;2044000;;0;60,1178
0359-2060;GEMOZAC                                                     ;359000;2060000;;0;595,992
0359-2076;COZES                                                       ;359000;2076000;;0;99,189
0359-2092;SAINT-PORCHAIRE                                             ;359000;2092000;;0;110,024
0359-2108;SAINT-SAVINIEN                                              ;359000;2108000;;0;122,768
0359-2124;SURGERES                                                    ;359000;2124000;;0;37,725
0359-2140;COURCON                                                     ;359000;2140000;;0;0
0359-2156;MAILLEZAIS                                                  ;359000;2156000;2017;0;145,962
0359-2172;FONTENAY-LE-COMTE                                           ;359000;2172000;;0;206,229
0359-2188;LA CHATAIGNERAIE                                            ;359000;2188000;;0;16,7981
0359-2204;POUZAUGES                                                   ;359000;2204000;;0;0
0359-2220;MAULEON                                                     ;359000;2220000;2017;0;0
0359-2236;CHOLET                                                      ;359000;2236000;;0;0
0359-2252;JALLAIS                                                     ;359000;2252000;;0;0
0359-2268;CHALONNES-SUR-LOIRE                                         ;359000;2268000;;0;56,9235
0359-2284;LE LOUROUX-BECONNAIS                                        ;359000;2284000;;0;104,492
0359-2300;SEGRE                                                       ;359000;2300000;;0;0
0359-2316;CRAON                                                       ;359000;2316000;;0;0
0359-2332;COSSE-LE-VIVIEN                                             ;359000;2332000;2018;0;0
0359-2348;SAINT-BERTHEVIN                                             ;359000;2348000;2017;0;0
0359-2364;CHAILLAND                                                   ;359000;2364000;;0;0
0359-2380;ERNEE                                                       ;359000;2380000;;0;0
0359-2396;LE TEILLEUL                                                 ;359000;2396000;2016;0;0
0359-2412;SOURDEVAL                                                   ;359000;2412000;;0;0
0359-2428;VIRE                                                        ;359000;2428000;2016;0;0
0359-2444;LANDELLES-ET-COUPIGNY                                       ;359000;2444000;;0;30,0569
0359-2460;TORIGNI-SUR-VIRE                                            ;359000;2460000;2016;0;15,4201
0359-2476;TREVIERES                                                   ;359000;2476000;;0;90,6189
0359-2492;GRANDCAMP-MAISY                                             ;359000;2492000;;0;0
0375-1756;URDOS                                                       ;375000;1756000;;0;0
0375-1772;LARUNS                                                      ;375000;1772000;;0;33,4694
0375-1788;ARUDY                                                       ;375000;1788000;;0;602,998
0375-1804;LASSEUBE                                                    ;375000;1804000;;0;1124,61
0375-1820;PAU                                                         ;375000;1820000;;0;285,613
0375-1836;ARZACQ-ARRAZIGUET                                           ;375000;1836000;;0;303,286
0375-1852;GEAUNE                                                      ;375000;1852000;;0;160,795
0375-1868;GRENADE-SUR-L'ADOUR                                         ;375000;1868000;;0;349,587
0375-1884;MONT-DE-MARSAN                                              ;375000;1884000;;0;0
0375-1900;LABRIT                                                      ;375000;1900000;;0;0
0375-1916;LUXEY                                                       ;375000;1916000;;0;0
0375-1932;SAINT-SYMPHORIEN                                            ;375000;1932000;;0;0
0375-1948;BALIZAC                                                     ;375000;1948000;;0;0
0375-1964;LA BREDE                                                    ;375000;1964000;;0;0
0375-1980;BORDEAUX                                                    ;375000;1980000;;0;37,1375
0375-1996;SAINT-ANDRE-DE-CUBZAC                                       ;375000;1996000;2017;1;74,7943
0375-2012;BOURG                                                       ;375000;2012000;;0;26,1679
0375-2028;REIGNAC                                                     ;375000;2028000;;0;9,81366
0375-2044;MIRAMBEAU                                                   ;375000;2044000;;0;0
0375-2060;SAINT-GENIS-DE-SAINTONGE                                    ;375000;2060000;2016;0;96,4288
0375-2076;PONS                                                        ;375000;2076000;2015;0;311,005
0375-2092;SAINTES                                                     ;375000;2092000;;0;279,813
0375-2108;SAINT-JEAN-D'ANGELY                                         ;375000;2108000;;0;26,7569
0375-2124;LOULAY                                                      ;375000;2124000;;0;28,8982
0375-2140;FRONTENAY-ROHAN-ROHAN                                       ;375000;2140000;2016;0;23,7804
0375-2156;BENET                                                       ;375000;2156000;2017;1;272,157
0375-2172;SAINT-HILAIRE-DES-LOGES                                     ;375000;2172000;;0;222,131
0375-2188;MOUTIERS-SOUS-CHANTEMERLE                                   ;375000;2188000;;0;0
0375-2204;MONCOUTANT                                                  ;375000;2204000;;0;0
0375-2220;LES AUBIERS                                                 ;375000;2220000;;0;0
0375-2236;VIHIERS                                                     ;375000;2236000;;0;0
0375-2252;CHEMILLE                                                    ;375000;2252000;;0;28,789
0375-2268;BOUCHEMAINE                                                 ;375000;2268000;2017;0;0,53052
0375-2284;ANGERS                                                      ;375000;2284000;;0;118,341
0375-2300;LE LION-D'ANGERS                                            ;375000;2300000;;0;0
0375-2316;CHATEAU-GONTIER                                             ;375000;2316000;;0;0
0375-2332;VILLIERS-CHARLEMAGNE                                        ;375000;2332000;;0;178,913
0375-2348;LAVAL                                                       ;375000;2348000;2016;0;0
0375-2364;MAYENNE                                                     ;375000;2364000;;0;0
